período,Features,
256,[['0_cpu1_.iowait', '2_file.nr', '2_eth1_rxpck.s', '2_eth1_rxkB.s', '2_irec.s', '2_idel.s', '2_orq.s', '2_iseg.s', '3_file.nr', '3_ldavg.1', '4_ldavg.1', '5_i135_intr.s']],
128,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1']],
64,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
32,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
16,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
8,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
4,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
2,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
256,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_runq.sz', '2_plist.sz', '2_ldavg.1', '3_kbcommit', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_orq.s', '5_tcpsck']],
128,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_runq.sz', '2_ldavg.1', '3_kbcommit', '3_X..commit', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_orq.s', '5_tcpsck']],
64,[['2_kbcommit', '2_X..commit', '2_plist.sz', '2_ldavg.1', '3_kbcommit', '3_X..commit', '3_runq.sz', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '5_tcpsck']],
