período,função,Features,
256,média,[['2_proc.s', '2_kbactive', '3_cpu0_.sys', '3_cpu10_.sys', '4_proc.s', '4_pgscand.s', '4_pgsteal.s', '4_X..vmeff', '4_runq.sz', '4_passive.s', '5_active.s', '5_passive.s']],
256,máximo,[['3_cpu0_.sys', '3_cpu3_.idle', '3_cpu7_.idle', '3_cpu9_.idle', '3_cpu10_.idle', '3_cpu11_.idle', '3_cpu12_.idle', '3_cpu13_.idle', '3_cpu15_.idle', '3_cpu19_.idle', '3_cpu23_.idle', '4_dev252.0_svctm']],
256,mínimo,[['3_cpu0_.sys', '3_cpu4_.sys', '3_cpu12_.usr', '3_cpu18_.sys', '3_cpu20_.sys', '3_cpu22_.sys', '3_cpu23_.usr', '3_i128_intr.s', '3_i131_intr.s', '3_runq.sz', '4_kbcommit', '4_X..commit']],
128,média,[['2_proc.s', '2_kbcommit', '2_X..commit', '2_runq.sz', '3_cpu10_.sys', '3_proc.s', '4_proc.s', '4_sum_intr.s', '4_runq.sz', '4_plist.sz', '5_active.s', '5_passive.s']],
128,máximo,[['3_cpu2_.idle', '3_cpu6_.idle', '3_cpu7_.idle', '3_cpu9_.idle', '3_cpu10_.idle', '3_cpu11_.idle', '3_cpu13_.idle', '3_cpu14_.idle', '3_cpu15_.idle', '3_cpu17_.idle', '3_cpu19_.idle', '3_cpu23_.idle']],
128,mínimo,[['3_all_..usr', '3_cpu4_.sys', '3_cpu7_.usr', '3_cpu8_.usr', '3_cpu10_.usr', '3_cpu14_.usr', '3_cpu15_.usr', '3_cpu17_.usr', '3_cpu19_.usr', '3_cpu19_.sys', '3_cpu20_.usr', '3_cpu22_.sys']],
64,média,[['2_proc.s', '2_kbcommit', '2_X..commit', '2_runq.sz', '3_proc.s', '3_fault.s', '4_proc.s', '4_runq.sz', '4_tcp6sck', '5_tcpsck', '5_active.s', '5_passive.s']],
64,máximo,[['2_wtps', '2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_tcp6sck', '5_tcpsck']],
64,mínimo,[['2_kbcommit', '2_X..commit', '2_plist.sz', '3_fault.s', '3_kbcommit', '3_X..commit', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_runq.sz', '4_plist.sz', '4_tcp6sck']],
32,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_runq.sz', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_runq.sz', '4_plist.sz', '4_tcp6sck']],
32,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_runq.sz', '4_plist.sz', '4_tcp6sck']],
32,mínimo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_fault.s', '3_runq.sz', '3_plist.sz', '4_file.nr', '4_runq.sz', '4_plist.sz', '4_tcp6sck', '5_tcpsck']],
16,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_file.nr', '4_runq.sz', '4_plist.sz']],
16,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_runq.sz', '4_plist.sz']],
16,mínimo,[['2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_file.nr', '4_runq.sz', '4_plist.sz', '4_tcp6sck', '5_tcpsck']],
8,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_file.nr', '4_runq.sz', '4_tcp6sck', '5_tcpsck']],
